AZ9gTIpm4Zz5JRbUFyy9	CRITICAL	FlavioMili_FootballManagement:src/gui/scenes/main_game_scene.cpp	166	Refactor this code to not nest more than 3 if|for|do|while|switch statements.
AZ9gTIsQ4Zz5JRbUFyy_	MAJOR	FlavioMili_FootballManagement:src/global/stats_config.h	43	Use the transparent comparator "std::less<>" with this associative string container.
AZ9gTIrB4Zz5JRbUFyy-	INFO	FlavioMili_FootballManagement:src/gui/gui_scene.h	86	Complete the task associated to this "TODO" comment.
AZ9XAlM81sKQ6MLEjphW	MAJOR	FlavioMili_FootballManagement:src/database/repositories/fixture_repository.cpp	48	Replace the redundant type with "auto".
AZ9XAlM81sKQ6MLEjphX	MAJOR	FlavioMili_FootballManagement:src/database/repositories/fixture_repository.cpp	49	Replace the redundant type with "auto".
AZ9XAlNZ1sKQ6MLEjpha	MINOR	FlavioMili_FootballManagement:src/database/repositories/game_state_repository.cpp	28	Use the init-statement to declare "sql" inside the if statement.
AZ9XAlNa1sKQ6MLEjphb	CRITICAL	FlavioMili_FootballManagement:src/database/repositories/game_state_repository.cpp	68	Use the "nullptr" literal.
AZ9XAlNp1sKQ6MLEjphc	MAJOR	FlavioMili_FootballManagement:src/database/repositories/league_repository.cpp	83	Use has_value() or another member function to clarify that the code tests the presence of a value in the "optional", not the contained "unsigned char" value itself.
AZ9XAlNp1sKQ6MLEjphe	MAJOR	FlavioMili_FootballManagement:src/database/repositories/league_repository.cpp	122	Replace the redundant type with "auto".
AZ9XAlNp1sKQ6MLEjphf	MAJOR	FlavioMili_FootballManagement:src/database/repositories/league_repository.cpp	123	Replace the redundant type with "auto".
AZ9XAlNL1sKQ6MLEjphZ	MAJOR	FlavioMili_FootballManagement:src/database/repositories/player_repository.cpp	57	Use the transparent comparator "std::less<>" with this associative string container.
AZ9XAlL51sKQ6MLEjphT	MAJOR	FlavioMili_FootballManagement:src/model/game.cpp	26	Do not assign data members in a constructor. Initialize member "db_conn" in an initialization list.
AZ9XAlL51sKQ6MLEjphU	MINOR	FlavioMili_FootballManagement:src/model/game.cpp	36	Use the init-statement to declare "game_date_str" inside the if statement.
AZ9Wgqf8bXNPmtFBBD3x	MAJOR	FlavioMili_FootballManagement:test/test_gamedata.cpp	23	Move this #include directive to the top of the file.
AZ9WgqgebXNPmtFBBD3y	MAJOR	FlavioMili_FootballManagement:benchmarks/db_benchmark.cpp	48	Use std::format instead of concatenating pieces manually.
AZ9WgqgebXNPmtFBBD3z	MAJOR	FlavioMili_FootballManagement:benchmarks/db_benchmark.cpp	69	Use std::format instead of concatenating pieces manually.
AZ9WgqgebXNPmtFBBD30	MAJOR	FlavioMili_FootballManagement:benchmarks/db_benchmark.cpp	101	Use std::format instead of concatenating pieces manually.
AZ9WgqcDbXNPmtFBBD3r	MINOR	FlavioMili_FootballManagement:src/database/gamedata.cpp	299	Use the init-statement to declare "it" inside the if statement.
AZ9WgqcDbXNPmtFBBD3s	MINOR	FlavioMili_FootballManagement:src/database/gamedata.cpp	317	Use the init-statement to declare "player_it" inside the if statement.
AZ9WMkFKjHgpYy_EGD8v	CRITICAL	FlavioMili_FootballManagement:scripts/update_copyrights.py	8	Refactor this function to reduce its Cognitive Complexity from 30 to the 15 allowed.
AZ9WMkFKjHgpYy_EGD8w	MAJOR	FlavioMili_FootballManagement:scripts/update_copyrights.py	21	Replace chained "endswith" calls with a single call using a tuple argument.
AZ9WJ3U6Ku499Cc-iAtB	CRITICAL	FlavioMili_FootballManagement:benchmarks/db_benchmark.cpp	22	Correct these functions so that no function in "DatabaseFixture::SetUp" hides a function in "benchmark::Fixture::SetUp".
AZ9WJ3U6Ku499Cc-iAtA	CRITICAL	FlavioMili_FootballManagement:benchmarks/db_benchmark.cpp	30	Correct these functions so that no function in "DatabaseFixture::TearDown" hides a function in "benchmark::Fixture::TearDown".
AZ9WJ3SmKu499Cc-iAs8	MAJOR	FlavioMili_FootballManagement:src/global/language_manager.cpp	53	Catch a more specific exception instead of a generic one.
AZ9WJ3RuKu499Cc-iAs5	MAJOR	FlavioMili_FootballManagement:src/gui/scenes/main_game_scene.cpp	108	Fill this compound statement, remove it, or add a nested comment explaining why it is empty.
AZ9WJ3RuKu499Cc-iAs6	MAJOR	FlavioMili_FootballManagement:src/gui/scenes/main_game_scene.cpp	113	Fill this compound statement, remove it, or add a nested comment explaining why it is empty.
AZ9WJ3RuKu499Cc-iAs7	MAJOR	FlavioMili_FootballManagement:src/gui/scenes/main_game_scene.cpp	203	Method called on moved-from object of type 'std::reference_wrapper'
AZ9WJ3RUKu499Cc-iAs2	MAJOR	FlavioMili_FootballManagement:src/gui/scenes/team_selection_scene.cpp	53	Use has_value() or another member function to clarify that the code tests the presence of a value in the "optional", not the contained "unsigned char" value itself.
AZ9WJ3RUKu499Cc-iAs3	MAJOR	FlavioMili_FootballManagement:src/gui/scenes/team_selection_scene.cpp	74	Use has_value() or another member function to clarify that the code tests the presence of a value in the "optional", not the contained "unsigned char" value itself.
AZ9WJ3RUKu499Cc-iAs4	MINOR	FlavioMili_FootballManagement:src/gui/scenes/team_selection_scene.cpp	80	Change this raw for-loop to a range for-loop or an "std::ranges::for_each".
AZ9WJ3UuKu499Cc-iAs_	CRITICAL	FlavioMili_FootballManagement:test/test_game_flow.cpp	28	Member variables should not be "protected".
AZ9WJ3TVKu499Cc-iAs9	MAJOR	FlavioMili_FootballManagement:src/database/gamedata.cpp	113	Directly pass the arguments for object creation to this function.
AZ9VvMt5b3Yg5Wvlwf05	MAJOR	FlavioMili_FootballManagement:src/gui/gui_view.cpp	277	Merge this "if" statement with the enclosing one.
AZ9TfKlhb3Yg5WvliG7o	MAJOR	FlavioMili_FootballManagement:src/gui/scenes/main_game_scene.cpp	33	Move these 4 #include directives to the top of the file.
AZ9TfKlhb3Yg5WvliG7p	MINOR	FlavioMili_FootballManagement:src/gui/scenes/main_game_scene.cpp	54	Make the type of this variable a pointer-to-const. The current type of "viewport" is "struct ImGuiViewport *".
AZ9TZzWFm2kYts_t2mBW	CRITICAL	FlavioMili_FootballManagement:src/gui/scenes/team_selection_scene.cpp	84	Refactor this code to not nest more than 3 if|for|do|while|switch statements.
AZ9TUELam2kYts_t1rkQ	INFO	FlavioMili_FootballManagement:src/gui/scenes/main_menu_scene.cpp	51	Complete the task associated to this "TODO" comment.
AZ9StQ4wWh4_BOS_NG92	MAJOR	FlavioMili_FootballManagement:src/global/language_manager.h	61	Use the transparent equality "std::equal_to<>" and a custom transparent heterogeneous hasher with this associative string container.
AZ9SqMOAKu499Cc-J9hS	MINOR	FlavioMili_FootballManagement:src/gui/gui_scene.h	131	Remove this access specifier; it does not affect any declaration.
AZ9SqMLHKu499Cc-J9hC	MAJOR	FlavioMili_FootballManagement:src/database/SQLLoader.cpp	74	Use "contains" instead of "find".
AZ9SqMLHKu499Cc-J9hD	MAJOR	FlavioMili_FootballManagement:src/database/SQLLoader.cpp	121	Use std::format instead of concatenating pieces manually.
AZ9SqMLUKu499Cc-J9hE	MAJOR	FlavioMili_FootballManagement:src/database/datagenerator.cpp	187	Use std::format instead of concatenating pieces manually.
AZ9SqMLUKu499Cc-J9hF	MAJOR	FlavioMili_FootballManagement:src/database/datagenerator.cpp	193	Use std::format instead of concatenating pieces manually.
AZ9SqMLUKu499Cc-J9hG	MAJOR	FlavioMili_FootballManagement:src/database/datagenerator.cpp	200	Use std::format instead of concatenating pieces manually.
AZ9SqMPuKu499Cc-J9hX	MINOR	FlavioMili_FootballManagement:src/gui/button_manager.cpp	216	Remove this redundant cast.
AZ9SqMPuKu499Cc-J9hY	MINOR	FlavioMili_FootballManagement:src/gui/button_manager.cpp	217	Remove this redundant cast.
